capability_code,item_code,item_name,evidence_source
ENVIRONMENTAL_CONDITIONS,ROOM_TEMPERATURE,Room Temperature,"Section B, all LK docs (Suhu Awal/Akhir)"
ENVIRONMENTAL_CONDITIONS,ROOM_HUMIDITY,Room Relative Humidity,"Section B, all LK docs (Kelembaban/RH Awal/Akhir)"
ENVIRONMENTAL_CONDITIONS,INPUT_VOLTAGE,Input Voltage (L-N/L-G/N-G),"Section B, all LK docs (Tegangan Input)"
ELECTRICAL_SAFETY,PROTECTIVE_EARTH_RESISTANCE,Protective Earth Resistance,"Section D, all LK docs (Resistansi Pembumian Protektif, ≤0.3 Ω)"
ELECTRICAL_SAFETY,INSULATION_RESISTANCE,Insulation Resistance,"Section D, all LK docs (Resistansi Isolasi, >2 MΩ)"
ELECTRICAL_SAFETY,EQUIPMENT_LEAKAGE_CURRENT,Equipment Leakage Current,"Section D, all LK docs (Arus Bocor Peralatan)"
ELECTRICAL_SAFETY,APPLIED_PART_LEAKAGE_CURRENT,Applied Part Leakage Current,"Section D, all LK docs (Arus bocor bagian yang diaplikasikan)"
NIBP,SYSTOLIC_PRESSURE,Systolic Pressure,LK Blood Pressure Monitor.pdf (Systole)
NIBP,DIASTOLIC_PRESSURE,Diastolic Pressure,LK Blood Pressure Monitor.pdf (Diastole)
NIBP,MEAN_ARTERIAL_PRESSURE,Mean Arterial Pressure,LK Blood Pressure Monitor.pdf (Mean)
VITAL_SIGNS_MONITORING,HEART_RATE,Heart Rate,LK Bed Side Monitor.pdf; LK Pulse Oxymeter.pdf (Kalibrasi Heart Rate)
VITAL_SIGNS_MONITORING,RESPIRATION_RATE,Respiration Rate,LK Bed Side Monitor.pdf (Kalibrasi Respirasi)
VITAL_SIGNS_MONITORING,SPO2_ACCURACY,SpO2 Accuracy,LK Bed Side Monitor.pdf; LK Pulse Oxymeter.pdf (Kalibrasi Saturasi Oxygen)
ECG_PERFORMANCE,AMPLITUDE_ACCURACY,Amplitude Accuracy,LK Electrocardiograph.pdf (Pengukuran Amplitudo)
ECG_PERFORMANCE,RECORDING_SPEED,Recording/Paper Speed,LK Electrocardiograph.pdf (Laju Rekaman)
ECG_PERFORMANCE,ECG_HEART_RATE_CALIBRATION,Heart Rate Calibration,LK Electrocardiograph.pdf (Kalibrasi Detak Jantung)
ECG_PERFORMANCE,SINUSOIDAL_SIGNAL_TEST,Sinusoidal Signal Test,LK Electrocardiograph.pdf (Uji Sinyal Sinusoida)
