code,name,description,evidence_source
ENVIRONMENTAL_CONDITIONS,Environmental Conditions,"Room temperature, humidity, and input voltage readings recorded before/after calibration. Present in nearly all LK worksheets (Section B).","LK Blood Pressure Monitor.pdf p1; LK Ventilator Transport.pdf p1; LK Sterilisator.pdf p1 (representative sample; pattern repeats across ~28 of 30 LK documents)"
ELECTRICAL_SAFETY,Electrical Safety,"Standard electrical safety test block (earth resistance, insulation resistance, leakage currents) per IEC 62353-style testing. Present in nearly all LK worksheets (Section D).","LK Blood Pressure Monitor.pdf p2; LK Ventilator Transport.pdf p2; LK Sterilisator.pdf p2 (representative sample; pattern repeats across ~26 of 30 LK documents)"
NIBP,Non-Invasive Blood Pressure,"Blood pressure measurement accuracy (systolic/diastolic/mean).",LK Blood Pressure Monitor.pdf p2; LK Bed Side Monitor.pdf (Kalibrasi NIBP)
VITAL_SIGNS_MONITORING,Vital Signs Monitoring,"Heart rate, respiration rate, and SpO2 accuracy as measured on patient monitors.",LK Bed Side Monitor.pdf (Kalibrasi Heart Rate; Kalibrasi Respirasi; Kalibrasi Saturasi Oxygen); LK Pulse Oxymeter.pdf (Kalibrasi Heart Rate; Kalibrasi Saturasi Oxygen)
ECG_PERFORMANCE,ECG Performance,"Electrocardiograph signal accuracy: amplitude, recording speed, heart rate, waveform tests.",LK Electrocardiograph.pdf (Pengukuran Amplitudo; Laju Rekaman; Kalibrasi Detak Jantung; Uji Sinyal Sinusoida; Uji Sinyal EKG Normal)
NIBP_LEAK_TEST,NIBP Cuff/Manometer Leak & Deflation,"Sphygmomanometer-specific pneumatic tests: leak test, rapid deflation rate, pressure accuracy.",LK Sphygmomanometer.pdf (Uji kebocoran; Laju buang cepat; Pengukuran akurasi tekanan)
VENTILATION_PERFORMANCE,Ventilation Performance,"Ventilator-specific respiratory mechanics: tidal/minute volume, respiration rate, I:E ratio, inspiratory/expiratory time, PEEP, peak inspiratory pressure, FiO2.",LK Ventilator Transport.pdf p2-4 (9 numbered sub-tests)
RESUSCITATOR_PRESSURE,Resuscitator Pressure,"Maximum pressure and pressure accuracy for manual/mechanical resuscitators (Cardiac/Pulmonary/Neopuff).",LK Resusitator Paru dan Neopuff.pdf (nilai tekanan maksimum; Kalibrasi akurasi tekanan resuscitator)
TEMPERATURE_CHAMBER_STERILIZATION,Sterilization Chamber Temperature,"Chamber temperature, sterilization temperature, and sterilization time for autoclaves/dry sterilizers/ovens.",LK Autoclave.pdf (Suhu Chamber; Suhu Sterilisasi; Waktu Sterilisasi); LK Sterilisator.pdf p2 (multi-point temp table); LK Oven.pdf (same multi-point temp table pattern)
TEMPERATURE_COLD_STORAGE,Cold Storage Temperature Uniformity,"Multi-point temperature uniformity inside refrigerators/freezers/cold-chain storage.",LK Blood Bank Refrigerator.pdf p2 (Setting suhu 2-8C, T1-T9 multi-point); LK Medical Refrigerator.pdf p2; LK Medical Freezer.pdf p2 (Setting suhu -5 s.d. -150C); LK Cold Chain, Vaccine Refrigerator.pdf p2 (Setting suhu 2-10C)
