device_type_code,capability_item_code,param_code,param_name,uom_code,status,evidence_source
BLOOD_PRESSURE_MONITOR,ROOM_TEMPERATURE,BPM_ROOM_TEMP,Room Temperature,DEG_C,CONFIRMED,LK Blood Pressure Monitor.pdf p1-2
BLOOD_PRESSURE_MONITOR,ROOM_HUMIDITY,BPM_ROOM_HUMIDITY,Room Humidity,PERCENT,CONFIRMED,LK Blood Pressure Monitor.pdf p1-2
BLOOD_PRESSURE_MONITOR,INPUT_VOLTAGE,BPM_INPUT_VOLTAGE,Input Voltage,V,CONFIRMED,LK Blood Pressure Monitor.pdf p1-2
BLOOD_PRESSURE_MONITOR,PROTECTIVE_EARTH_RESISTANCE,BPM_EARTH_RESISTANCE,Protective Earth Resistance,OHM,CONFIRMED,LK Blood Pressure Monitor.pdf p1-2
BLOOD_PRESSURE_MONITOR,INSULATION_RESISTANCE,BPM_INSULATION_RESISTANCE,Insulation Resistance,MOHM,CONFIRMED,LK Blood Pressure Monitor.pdf p1-2
BLOOD_PRESSURE_MONITOR,EQUIPMENT_LEAKAGE_CURRENT,BPM_EQUIP_LEAKAGE,Equipment Leakage Current,UA,CONFIRMED,LK Blood Pressure Monitor.pdf p1-2
BLOOD_PRESSURE_MONITOR,APPLIED_PART_LEAKAGE_CURRENT,BPM_APPLIED_LEAKAGE,Applied Part Leakage Current,UA,CONFIRMED,LK Blood Pressure Monitor.pdf p1-2
BLOOD_PRESSURE_MONITOR,SYSTOLIC_PRESSURE,BPM_SYSTOLIC,Systolic Pressure,MMHG,CONFIRMED,LK Blood Pressure Monitor.pdf p2
BLOOD_PRESSURE_MONITOR,DIASTOLIC_PRESSURE,BPM_DIASTOLIC,Diastolic Pressure,MMHG,CONFIRMED,LK Blood Pressure Monitor.pdf p2
BLOOD_PRESSURE_MONITOR,MEAN_ARTERIAL_PRESSURE,BPM_MAP,Mean Arterial Pressure,MMHG,CONFIRMED,LK Blood Pressure Monitor.pdf p2
HUMIDIFIER,ROOM_TEMPERATURE,HUM_ROOM_TEMP,Room Temperature,DEG_C,CONFIRMED,LK Humidifier.pdf p1 [verified]
HUMIDIFIER,ROOM_HUMIDITY,HUM_ROOM_HUMIDITY,Room Humidity,PERCENT,CONFIRMED,LK Humidifier.pdf p1 [verified]
HUMIDIFIER,INPUT_VOLTAGE,HUM_INPUT_VOLTAGE,Input Voltage,V,CONFIRMED,LK Humidifier.pdf p1 [verified]
HUMIDIFIER,PROTECTIVE_EARTH_RESISTANCE,HUM_EARTH_RESISTANCE,Protective Earth Resistance,OHM,CONFIRMED,LK Humidifier.pdf p1 [verified]
HUMIDIFIER,INSULATION_RESISTANCE,HUM_INSULATION_RESISTANCE,Insulation Resistance,MOHM,CONFIRMED,LK Humidifier.pdf p1 [verified]
HUMIDIFIER,EQUIPMENT_LEAKAGE_CURRENT,HUM_EQUIP_LEAKAGE,Equipment Leakage Current,UA,CONFIRMED,LK Humidifier.pdf p1 [verified]
HUMIDIFIER,APPLIED_PART_LEAKAGE_CURRENT,HUM_APPLIED_LEAKAGE,Applied Part Leakage Current,UA,CONFIRMED,LK Humidifier.pdf p1 [verified]
HUMIDIFIER,TEMPERATURE_ACCURACY,HUM_TEMP_ACCURACY,Temperature Accuracy,DEG_C,CONFIRMED,LK Humidifier.pdf (Akurasi Suhu)
HUMIDIFIER,MAXIMUM_TEMPERATURE,HUM_MAX_TEMP,Maximum Temperature,DEG_C,CONFIRMED,LK Humidifier.pdf (Suhu Maksimum)
BABY_INCUBATOR,ROOM_TEMPERATURE,INCU_ROOM_TEMP,Room Temperature,DEG_C,CONFIRMED,LK Baby Incubator.pdf p1-2
BABY_INCUBATOR,ROOM_HUMIDITY,INCU_ROOM_HUMIDITY,Room Humidity,PERCENT,CONFIRMED,LK Baby Incubator.pdf p1-2
BABY_INCUBATOR,INPUT_VOLTAGE,INCU_INPUT_VOLTAGE,Input Voltage,V,CONFIRMED,LK Baby Incubator.pdf p1-2
